s_m,posE_m,posN_m,posU_m
76.17443874492325,-665.7474848221117,-53.147526559262054,8.111374578682138
76.67415092050572,-665.7795053263397,-52.648896960944654,8.118822357960191
77.17387287060052,-665.8119884209757,-52.150285627431614,8.126144520329593
77.67361101110522,-665.8449218558491,-51.651685752107895,8.133339120367602
78.17336430667403,-665.8783515269273,-51.153101620449014,8.140387324497112
78.67311987309245,-665.9123387255416,-50.654551214343776,8.147314738794325
79.1728864827687,-665.9468961449013,-50.15602728402146,8.154122073845222
79.67266411912064,-665.9820260293806,-49.65753056514064,8.160800268141223
80.17245332405396,-666.0176658324007,-49.15905673459771,8.167349624783203
80.6722514356865,-666.0538802346283,-48.66061378606014,8.173775861311356
81.17205446466835,-666.0906835695777,-48.16220749429065,8.18008067222219
81.67186765004965,-666.1281716247902,-47.66384031930878,8.18624710538765
82.17168415209308,-666.1663631156645,-47.16552194797408,8.19230899701186
82.67150479812088,-666.2052025570313,-46.66724794662294,8.198241582240039
83.17133033310832,-666.2448507508444,-46.169031490988345,8.204068201133977
83.67115792930515,-666.2852749427004,-45.670874353974455,8.20981080288111
84.17098934398658,-666.3265111912995,-45.17277917966543,8.215486385140256
84.67082207167338,-666.3685994671989,-44.67475378695874,8.221146854907783
85.17065545157685,-666.4115523557944,-44.176801366644966,8.22678991530779
85.67048372089052,-666.4555099146241,-43.678942030605604,8.232456779102607
86.17030735249769,-666.5005180369162,-43.18118188522691,8.238181227836954
86.67012265023759,-666.5465419407021,-42.68352371332237,8.243967078834343
87.16993342212903,-666.5935192811716,-42.18596014146567,8.249834713991843
87.66974112214096,-666.6415787645897,-41.68850396366945,8.255782336808618
88.16954106662963,-666.6908440888312,-41.191174570466515,8.261814500156438
88.66933354326707,-666.7413015160571,-40.693973220992945,8.267928894876276
89.16912123913207,-666.7930038201891,-40.19690546910052,8.274114581102522
89.66891253029817,-666.8458285511767,-39.699952859693866,8.280358500183777
90.16869799950959,-666.8998466921232,-39.20313530470349,8.286672986460783
90.6684814120477,-666.9551923341504,-38.70646661697483,8.293039617180701
91.1682650402907,-667.0118693412567,-38.209948451627426,8.299450810928608
91.66804787123776,-667.0698339459041,-37.71358041754624,8.305912812159185
92.16783107918909,-667.1291244302454,-37.21736933699159,8.312428712057066
92.6676120840292,-667.1897512954679,-36.72132281432156,8.319007721044644
93.1673964639303,-667.2517315317492,-36.22544120004985,8.325663645542864
93.66717782264564,-667.3151618564966,-35.72974718237617,8.332404659139916
94.16696081236178,-667.380041503489,-35.23424036325703,8.339235502585726
94.66674338086482,-667.4463093008214,-34.738919067306455,8.346164326010118
95.16652104719357,-667.514047865543,-34.243803123581536,8.353193186504813
95.66629794075739,-667.5832025466116,-33.74888526126537,8.360326417680188
96.16607275605324,-667.6538711025667,-33.25418497177591,8.367568294665833
96.66584411025632,-667.7259962843474,-32.75969964564321,8.374891331911838
97.16561675289736,-667.7996683912345,-32.26544246328406,8.382304339777965
97.66539071794912,-667.8748873091795,-31.7714179032973,8.389778606071319
98.16516948994696,-667.9516182161373,-31.277621896002827,8.397308017545171
98.66495193679266,-668.0298780128153,-30.784062809858202,8.40487946939222
99.1647355768798,-668.1096269445181,-30.29074148180857,8.412486182372263
99.66452982232765,-668.1909603234158,-29.797668241334407,8.420098592514735
100.1643388529589,-668.2738982845716,-29.304847680746022,8.427731204205452
100.66415576751781,-668.3584394547536,-28.812291713009113,8.435370397239401
101.16398308500334,-668.4445779054066,-28.320001975962622,8.443007767373684
101.66381591755054,-668.5323926167235,-27.828003143872994,8.450661929047081
102.16365832077655,-668.6218491478032,-27.336290052108115,8.45829032972898
102.663502948566,-668.712980433903,-26.844881568703737,8.465869449861698
103.1633521509098,-668.805875704544,-26.35379806024624,8.47339816139469
103.66321090374058,-668.9005230519203,-25.863038617090773,8.480869531408706
104.1630670051326,-668.9968526913133,-25.372608155162073,8.488264440851767
104.66292522798025,-669.0949786864849,-24.88253016324673,8.49555099423615
105.16277155800411,-669.1949687930752,-24.392839351778374,8.50270930310353
105.66262107220012,-669.2968396862407,-23.903531219030743,8.509738470528234
106.1624636873599,-669.4006390228923,-23.414633496566342,8.516619939090363
106.66229567623618,-669.5063852285309,-22.926161966029184,8.523352022849204
107.1621263559066,-669.614138168121,-22.438128657118877,8.529947608004122
107.6619503049492,-669.7238761401375,-21.9505428052308,8.53639699346636
108.16177030705757,-669.8356955909284,-21.46343255974111,8.542725790461299
108.66158377258355,-669.9496334601741,-20.976818692376426,8.548939192203887
109.16270730049489,-670.0661959110729,-20.489478499313968,8.555064671174948
109.66355303205572,-670.1848232952599,-20.002921445215478,8.561083279872287
110.16412463463539,-670.3055720535023,-19.517167489101045,8.566979109862759
110.66442682327082,-670.4285826849975,-19.032257745450824,8.572741488331692
111.16447907215444,-670.5537271180651,-18.54815079413213,8.578361289989848
111.66429098419596,-670.6810298496428,-18.06485338851773,8.583800010231624
112.16386665994048,-670.8105609581261,-17.5823908003943,8.589034395765953
112.66323838663976,-670.9423591913383,-17.10075172933631,8.594049610533718
